State,Population,Area,Density
AC,881935,164123738,5.37359805928866
AL,3337357,27843295,119.86214275286
AP,845731,142470762,5.93617236356187
AM,4144597,1559168117,2.65821046159835
BA,14873064,564722611,26.336937303897
CE,9132078,148894757,61.3324349627704
DF,3015268,5760783,523.4128763399
ES,4018650,46074444,87.220802924936
GO,7018354,340125715,20.6345880081428
MA,7075181,329642.17,21.4632157044713
MT,3484466,903206997,3.85788198228495
MS,2778986,357145535,7.78110245729378
MG,21168791,586521121,36.0921205427485
PA,8602865,1245759305,6.90572004196268
PB,4018127,56467239,71.1585526609509
PR,11433957,199305236,57.3690748395592
PE,9557071,98068021,97.4534909805104
PI,3273227,251616823,13.0087764441728
RJ,17264943,43750423,394.623453126385
RN,3506853,52809602,66.405594194783
RS,11377239,281707151,40.3867596531123
RO,1777225,237765233,7.47470510122899
RR,605761,224273831,2.70098832886125
SC,7164788,95730921,74.842986207142
SP,45919049,248219481,184.993735443351
SE,2298696,21926908,104.834480082645
TO,1572866,277720404,5.6634873683966
